dataset,time,step,loss,acc
train,2018-12-03T17:22:29.136973,279,1.2676772,0.484375
train,2018-12-03T17:22:29.545381,280,1.239563,0.453125
train,2018-12-03T17:22:29.961997,281,1.2522022,0.4609375
train,2018-12-03T17:22:30.367360,282,1.2711692,0.421875
train,2018-12-03T17:22:30.787457,283,1.2181065,0.4609375
train,2018-12-03T17:22:31.198109,284,1.2558008,0.484375
train,2018-12-03T17:22:31.609202,285,1.3433485,0.359375
train,2018-12-03T17:22:32.020334,286,1.3005594,0.3984375
train,2018-12-03T17:22:32.430187,287,1.3047967,0.3984375
train,2018-12-03T17:22:32.842285,288,1.2790457,0.4375
train,2018-12-03T17:22:33.257662,289,1.26953,0.4296875
train,2018-12-03T17:22:33.665863,290,1.2291559,0.4140625
train,2018-12-03T17:22:34.070654,291,1.2779449,0.3984375
train,2018-12-03T17:22:34.480713,292,1.2575264,0.4453125
train,2018-12-03T17:22:34.889413,293,1.2587945,0.3984375
train,2018-12-03T17:22:35.292881,294,1.2546284,0.4296875
train,2018-12-03T17:22:35.706828,295,1.279069,0.40625
train,2018-12-03T17:22:36.122343,296,1.2969134,0.40625
train,2018-12-03T17:22:36.526826,297,1.3568509,0.3359375
train,2018-12-03T17:22:36.937825,298,1.3416249,0.3984375
train,2018-12-03T17:22:37.350045,299,1.2999567,0.40625
train,2018-12-03T17:22:37.753613,300,1.2579266,0.4609375
dev,2018-12-03T17:22:38.163145,300,1.2634486,0.41932347
train,2018-12-03T17:22:52.594911,301,1.281717,0.40625
train,2018-12-03T17:22:53.023699,302,1.3128211,0.3828125
train,2018-12-03T17:22:53.430546,303,1.2923915,0.4609375
train,2018-12-03T17:22:53.846293,304,1.1566104,0.546875
train,2018-12-03T17:22:54.258714,305,1.1946374,0.484375
train,2018-12-03T17:22:54.663090,306,1.2433418,0.4765625
train,2018-12-03T17:22:55.074305,307,1.2524511,0.4296875
train,2018-12-03T17:22:55.486298,308,1.2876343,0.4296875
train,2018-12-03T17:22:55.892323,309,1.2425436,0.484375
train,2018-12-03T17:22:56.308963,310,1.3349826,0.359375
train,2018-12-03T17:22:56.724453,311,1.221845,0.5234375
train,2018-12-03T17:22:57.132983,312,1.2856452,0.40625
train,2018-12-03T17:22:57.544045,313,1.3131288,0.4140625
train,2018-12-03T17:22:57.952364,314,1.2323494,0.421875
train,2018-12-03T17:22:58.365171,315,1.2349745,0.3984375
train,2018-12-03T17:22:58.782102,316,1.2697937,0.421875
train,2018-12-03T17:22:59.206125,317,1.2689699,0.4609375
train,2018-12-03T17:22:59.626888,318,1.3550607,0.359375
train,2018-12-03T17:23:00.043980,319,1.249078,0.46875
train,2018-12-03T17:23:00.468728,320,1.2644414,0.5078125
train,2018-12-03T17:23:00.892837,321,1.3100317,0.390625
train,2018-12-03T17:23:01.312345,322,1.3005972,0.375
train,2018-12-03T17:23:01.726119,323,1.1807188,0.4765625
train,2018-12-03T17:23:02.134921,324,1.267918,0.421875
train,2018-12-03T17:23:02.546395,325,1.3022168,0.4609375
train,2018-12-03T17:23:02.954228,326,1.2141601,0.5
train,2018-12-03T17:23:03.368796,327,1.2638681,0.4140625
train,2018-12-03T17:23:03.780381,328,1.3152275,0.3671875
train,2018-12-03T17:23:04.183446,329,1.324654,0.375
train,2018-12-03T17:23:04.590562,330,1.2973256,0.3671875
train,2018-12-03T17:23:05.001204,331,1.2236927,0.46875
train,2018-12-03T17:23:05.407992,332,1.2585313,0.4296875
train,2018-12-03T17:23:05.823803,333,1.195867,0.4609375
train,2018-12-03T17:23:06.235508,334,1.2422113,0.4453125
train,2018-12-03T17:23:06.643426,335,1.2566128,0.4375
train,2018-12-03T17:23:07.064002,336,1.263755,0.4453125
train,2018-12-03T17:23:07.475229,337,1.2327898,0.4921875
train,2018-12-03T17:23:07.877853,338,1.2500408,0.4453125
train,2018-12-03T17:23:08.290503,339,1.2169964,0.515625
train,2018-12-03T17:23:08.700768,340,1.3253669,0.34375
train,2018-12-03T17:23:09.112757,341,1.3041764,0.359375
train,2018-12-03T17:23:09.526142,342,1.2312976,0.4375
train,2018-12-03T17:23:09.938669,343,1.2520682,0.421875
train,2018-12-03T17:23:10.347895,344,1.2391487,0.453125
train,2018-12-03T17:23:10.756189,345,1.2402602,0.4375
train,2018-12-03T17:23:11.168828,346,1.2683686,0.4296875
train,2018-12-03T17:23:11.579369,347,1.2251402,0.4609375
train,2018-12-03T17:23:11.989167,348,1.1938789,0.4609375
train,2018-12-03T17:23:12.399678,349,1.229668,0.4453125
train,2018-12-03T17:23:12.810712,350,1.1731166,0.546875
train,2018-12-03T17:23:13.219014,351,1.2576724,0.4296875
train,2018-12-03T17:23:13.627456,352,1.310421,0.390625
train,2018-12-03T17:23:14.039507,353,1.2134689,0.484375
train,2018-12-03T17:23:14.448093,354,1.2889239,0.4140625
train,2018-12-03T17:23:14.858069,355,1.2720246,0.4296875
train,2018-12-03T17:23:15.272003,356,1.2485229,0.453125
train,2018-12-03T17:23:15.688637,357,1.2299064,0.453125
train,2018-12-03T17:23:16.097846,358,1.2719289,0.3828125
train,2018-12-03T17:23:16.514932,359,1.2133076,0.46875
train,2018-12-03T17:23:16.924873,360,1.24685,0.4453125
train,2018-12-03T17:23:17.333864,361,1.2236089,0.46875
train,2018-12-03T17:23:17.750842,362,1.2494785,0.4375
train,2018-12-03T17:23:18.166487,363,1.2032803,0.4453125
train,2018-12-03T17:23:18.575921,364,1.2851171,0.3828125
train,2018-12-03T17:23:18.993981,365,1.2234017,0.53125
train,2018-12-03T17:23:19.406636,366,1.2435427,0.5
train,2018-12-03T17:23:19.816789,367,1.2530288,0.4296875
train,2018-12-03T17:23:20.226348,368,1.1821135,0.46875
train,2018-12-03T17:23:20.640656,369,1.2679555,0.4609375
train,2018-12-03T17:23:21.044448,370,1.2496998,0.453125
train,2018-12-03T17:23:21.452869,371,1.2766807,0.46875
train,2018-12-03T17:23:21.870011,372,1.1961665,0.4609375
train,2018-12-03T17:23:22.279778,373,1.2662662,0.4296875
train,2018-12-03T17:23:22.686450,374,1.2740575,0.46875
train,2018-12-03T17:23:23.097238,375,1.2228353,0.4453125
train,2018-12-03T17:23:23.502143,376,1.2596308,0.4296875
train,2018-12-03T17:23:23.917148,377,1.1863296,0.4609375
train,2018-12-03T17:23:24.328768,378,1.2696136,0.4453125
train,2018-12-03T17:23:24.739699,379,1.3056836,0.421875
train,2018-12-03T17:23:25.147576,380,1.2345108,0.5234375
train,2018-12-03T17:23:25.558773,381,1.2349117,0.484375
train,2018-12-03T17:23:25.961015,382,1.1859274,0.4375
train,2018-12-03T17:23:26.368926,383,1.252989,0.421875
train,2018-12-03T17:23:26.775756,384,1.2229079,0.4609375
train,2018-12-03T17:23:27.184562,385,1.2837713,0.421875
train,2018-12-03T17:23:27.599167,386,1.1649866,0.5703125
train,2018-12-03T17:23:28.013520,387,1.1939648,0.4765625
train,2018-12-03T17:23:28.421683,388,1.2171612,0.40625
train,2018-12-03T17:23:28.832905,389,1.2931914,0.359375
train,2018-12-03T17:23:29.243534,390,1.1547327,0.5234375
train,2018-12-03T17:23:29.650992,391,1.1893666,0.5
train,2018-12-03T17:23:30.060629,392,1.1900932,0.4609375
train,2018-12-03T17:23:30.475775,393,1.2456974,0.4453125
train,2018-12-03T17:23:30.892936,394,1.2255714,0.453125
train,2018-12-03T17:23:31.303403,395,1.2719886,0.4609375
train,2018-12-03T17:23:31.711885,396,1.2275661,0.421875
train,2018-12-03T17:23:32.121048,397,1.2053819,0.5390625
train,2018-12-03T17:23:32.533222,398,1.2084851,0.46875
train,2018-12-03T17:23:32.937850,399,1.2106196,0.46875
train,2018-12-03T17:23:33.349074,400,1.2362323,0.46875
dev,2018-12-03T17:23:33.761203,400,1.2420708,0.45489892
train,2018-12-03T17:23:48.255448,401,1.2037979,0.46875
train,2018-12-03T17:23:48.683068,402,1.2301762,0.3828125
train,2018-12-03T17:23:49.098396,403,1.2804328,0.390625
train,2018-12-03T17:23:49.506591,404,1.2923344,0.4375
train,2018-12-03T17:23:49.913704,405,1.2477301,0.4453125
train,2018-12-03T17:23:50.323891,406,1.2331918,0.4453125
train,2018-12-03T17:23:50.734366,407,1.2219005,0.4453125
train,2018-12-03T17:23:51.140836,408,1.2593439,0.46875
train,2018-12-03T17:23:51.550869,409,1.2482632,0.4453125
train,2018-12-03T17:23:51.962371,410,1.1984187,0.53125
train,2018-12-03T17:23:52.372276,411,1.2918364,0.3515625
train,2018-12-03T17:23:52.785300,412,1.2209541,0.3984375
train,2018-12-03T17:23:53.200249,413,1.1498765,0.515625
train,2018-12-03T17:23:53.600691,414,1.240757,0.5546875
train,2018-12-03T17:23:54.016008,415,1.2597162,0.40625
train,2018-12-03T17:23:54.427970,416,1.261806,0.4296875
train,2018-12-03T17:23:54.835759,417,1.2505127,0.4453125
train,2018-12-03T17:23:55.241633,418,1.2690691,0.4296875
train,2018-12-03T17:23:55.650612,419,1.1933999,0.40625
train,2018-12-03T17:23:56.058717,420,1.2615207,0.421875
train,2018-12-03T17:23:56.473718,421,1.1858817,0.46875
train,2018-12-03T17:23:56.882325,422,1.2369909,0.3671875
train,2018-12-03T17:23:57.288427,423,1.2454294,0.375
train,2018-12-03T17:23:57.698507,424,1.2090447,0.53125
train,2018-12-03T17:23:58.104212,425,1.3453616,0.3125
train,2018-12-03T17:23:58.514940,426,1.177473,0.5234375
train,2018-12-03T17:23:58.932879,427,1.2021348,0.515625
train,2018-12-03T17:23:59.342521,428,1.1984823,0.4375
train,2018-12-03T17:23:59.749487,429,1.3165427,0.390625
